sequence_id,sensor_seed,window_start,window_end,overlapping,process_trial_count,axis_drift_rate_median,ODI_trans_median,lambda_min_trans_normalized_median
ST-L4-G01,11,50,59,False,5,0.0006217677852450492,0.5405459516999118,0.16350933105717858
ST-L4-G01,22,0,10,False,5,0.01611494572575346,0.5450656976612156,0.2606979399810699
ST-L4-G01,22,10,20,False,5,0.006181017787532224,0.5272679081630386,0.20498385462717364
ST-L4-G01,22,20,30,False,5,0.0048992870363886885,0.5274660304141152,0.18555703962670977
ST-L4-G01,22,30,40,False,5,0.004577204659740539,0.5309602633952728,0.2731405116082017
ST-L4-G01,22,40,50,False,5,0.008805568672834283,0.527820016735201,0.23407077556437902
ST-L4-G01,22,50,59,False,5,0.006723101133980784,0.5499445470644408,0.1800067998174909
ST-L4-G02,11,0,10,False,5,0.00346023573647057,0.5446242660785472,0.17006630781362686
ST-L4-G02,11,10,20,False,5,0.0018860771902640527,0.5264848291529198,0.23318846878278762
ST-L4-G02,11,20,30,False,5,0.0011219878566032571,0.5301451606272708,0.2378887761285396
ST-L4-G02,11,30,40,False,5,0.0028611790398378302,0.527962534332318,0.17112424650955757
ST-L4-G02,11,40,50,False,5,0.00926679251947503,0.5260640153064697,0.14515211456675295
ST-L4-G02,11,50,59,False,5,0.003127299370671843,0.5394638264557409,0.1663581860227788
ST-L4-G02,22,0,10,False,5,0.019941057768869938,0.5459125705090165,0.16985912670367867
ST-L4-G02,22,10,20,False,5,0.011205500661568977,0.5283082050301222,0.20242004320475612
ST-L4-G02,22,20,30,False,5,0.0047439066030643615,0.5268293096580133,0.2226345952784492
ST-L4-G02,22,30,40,False,5,0.003446876563137646,0.5319862315798014,0.14959759754765764
ST-L4-G02,22,40,50,False,5,0.006568568726294091,0.5285296691947972,0.12685092630103034
ST-L4-G02,22,50,59,False,5,0.0042882825781908,0.548893740365116,0.20112023622517222
ST-L4-G03,11,0,10,False,5,0.002207782163208178,0.5447936622661562,0.16687158293597779
ST-L4-G03,11,10,20,False,5,0.0006444743067566491,0.526967433369656,0.25027127301013363
ST-L4-G03,11,20,30,False,5,0.0008235784432863026,0.5301510667059577,0.23966216869256357
ST-L4-G03,11,30,40,False,5,0.0018219192132300146,0.5282836632888412,0.14542388297528203
ST-L4-G03,11,40,50,False,5,0.011373250836022065,0.5263161741681001,0.27883854170337496
ST-L4-G03,11,50,59,False,5,0.0031916438966037588,0.5397795268373091,0.16494838936703604
ST-L4-G03,22,0,10,False,5,0.018659631852275912,0.5456084401311411,0.16698112819916944
ST-L4-G03,22,10,20,False,5,0.009972399678062972,0.5279787190625073,0.25722676700900876
ST-L4-G03,22,20,30,False,5,0.0050520006697136535,0.5268194111614255,0.18575115440421155
ST-L4-G03,22,30,40,False,5,0.002882724856503251,0.5326763147979223,0.13627181046848044
ST-L4-G03,22,40,50,False,5,0.007686515672897909,0.527546962458293,0.1990590316324682
ST-L4-G03,22,50,59,False,5,0.005672317252398258,0.5494048388443833,0.1922686187156323
